academic_id,student_id,semester,cgpa,sgpa,class_rank,backlogs,internal_avg,external_avg
1,1001,1,6.89,6.61,72,2,20.7,48.2
2,1002,4,7.3,7.33,102,2,21.9,51.1
3,1003,8,5.85,5.69,9,3,17.5,40.9
4,1004,2,7.54,7.67,22,1,22.6,52.8
5,1005,1,7.86,8.17,59,1,23.6,55.0
6,1006,5,7.22,6.9,45,2,21.7,50.5
7,1007,5,6.03,6.31,67,3,18.1,42.2
8,1008,6,7.03,6.81,58,2,21.1,49.2
9,1009,7,5.85,5.53,96,3,17.5,40.9
10,1010,5,6.23,5.93,28,2,18.7,43.6
11,1011,2,6.53,6.6,72,2,19.6,45.7
12,1012,8,8.43,8.45,65,1,25.3,59.0
13,1013,4,9.27,9.62,96,0,27.8,64.9
14,1014,4,9.31,9.04,113,0,27.9,65.2
15,1015,4,6.64,6.27,9,3,19.9,46.5
16,1016,6,7.45,7.32,103,2,22.4,52.1
17,1017,1,5.66,5.27,10,3,17.0,39.6
18,1018,6,6.2,5.87,24,3,18.6,43.4
19,1019,3,7.14,7.12,6,2,21.4,50.0
20,1020,1,6.1,6.12,59,3,18.3,42.7
21,1021,5,9.36,9.03,80,0,28.1,65.5
22,1022,8,7.57,7.56,35,2,22.7,53.0
23,1023,3,9.44,9.78,54,0,28.3,66.1
24,1024,5,6.86,7.13,82,2,20.6,48.0
25,1025,8,9.68,9.63,54,0,29.0,67.8
26,1026,4,6.78,6.97,32,3,20.3,47.5
27,1027,7,6.97,6.64,83,2,20.9,48.8
28,1028,1,9.6,9.88,1,0,28.8,67.2
29,1029,4,7.95,7.58,4,1,23.9,55.6
30,1030,4,6.82,6.44,40,2,20.5,47.7
31,1031,6,7.5,7.31,94,2,22.5,52.5
32,1032,2,9.51,9.37,7,0,28.5,66.6
33,1033,1,7.1,7.44,34,2,21.3,49.7
34,1034,5,6.78,6.96,106,2,20.3,47.5
35,1035,7,6.52,6.81,64,2,19.6,45.6
36,1036,7,6.51,6.44,33,3,19.5,45.6
37,1037,5,7.76,7.88,100,1,23.3,54.3
38,1038,8,8.24,8.41,9,1,24.7,57.7
39,1039,7,8.92,9.05,116,0,26.8,62.4
40,1040,3,5.99,5.66,119,3,18.0,41.9
41,1041,4,7.15,7.35,6,2,21.5,50.1
42,1042,6,6.17,6.06,58,2,18.5,43.2
43,1043,7,5.6,5.7,84,3,16.8,39.2
44,1044,5,9.19,9.59,79,0,27.6,64.3
45,1045,7,7.1,6.86,48,2,21.3,49.7
46,1046,7,6.92,6.59,54,2,20.8,48.4
47,1047,3,6.07,5.85,112,3,18.2,42.5
48,1048,7,8.99,9.36,26,0,27.0,62.9
49,1049,7,6.25,6.1,88,3,18.8,43.8
50,1050,4,8.26,8.63,74,0,24.8,57.8
51,1051,2,7.18,7.25,113,2,21.5,50.3
52,1052,5,6.56,6.32,7,2,19.7,45.9
53,1053,1,8.81,8.89,45,0,26.4,61.7
54,1054,2,7.61,7.85,52,1,22.8,53.3
55,1055,6,7.32,7.44,22,2,22.0,51.2
56,1056,5,8.46,8.27,94,0,25.4,59.2
57,1057,7,9.64,9.32,1,0,28.9,67.5
58,1058,1,8.51,8.58,80,1,25.5,59.6
59,1059,6,8.4,8.74,53,0,25.2,58.8
60,1060,7,9.76,9.51,68,0,29.3,68.3
61,1061,7,7.49,7.22,88,2,22.5,52.4
62,1062,6,8.42,8.41,82,1,25.3,58.9
63,1063,2,5.55,5.91,95,4,16.6,38.9
64,1064,6,9.3,9.34,55,0,27.9,65.1
65,1065,6,5.82,5.93,55,3,17.5,40.7
66,1066,1,5.73,5.56,52,3,17.2,40.1
67,1067,1,5.53,5.28,48,4,16.6,38.7
68,1068,7,7.92,7.73,71,1,23.8,55.4
69,1069,5,8.27,8.04,117,0,24.8,57.9
70,1070,3,5.55,5.16,81,4,16.6,38.9
71,1071,7,7.16,7.39,88,2,21.5,50.1
72,1072,2,8.82,8.61,70,0,26.5,61.7
73,1073,4,6.36,6.56,25,3,19.1,44.5
74,1074,1,5.9,6.14,13,3,17.7,41.3
75,1075,7,9.76,10.0,119,0,29.3,68.3
76,1076,8,6.61,6.66,8,3,19.8,46.3
