attendance_id,student_id,semester,attendance_percentage,classes_attended,classes_conducted,low_attendance
1,1001,3,93,139,150,False
2,1002,3,90,135,150,False
3,1003,2,78,117,150,False
4,1004,8,78,117,150,False
5,1005,7,92,138,150,False
6,1006,6,87,130,150,False
7,1007,6,75,112,150,False
8,1008,6,94,141,150,False
9,1009,2,78,117,150,False
10,1010,5,97,145,150,False
11,1011,1,81,121,150,False
12,1012,4,91,136,150,False
13,1013,2,77,115,150,False
14,1014,2,100,150,150,False
15,1015,5,84,126,150,False
16,1016,1,100,150,150,False
17,1017,5,90,135,150,False
18,1018,1,82,123,150,False
19,1019,7,88,132,150,False
20,1020,2,79,118,150,False
21,1021,3,92,138,150,False
22,1022,7,89,133,150,False
23,1023,6,100,150,150,False
24,1024,3,85,127,150,False
25,1025,6,95,142,150,False
26,1026,2,88,132,150,False
27,1027,8,85,127,150,False
28,1028,3,100,150,150,False
29,1029,7,98,147,150,False
30,1030,4,85,127,150,False
31,1031,2,95,142,150,False
32,1032,8,92,138,150,False
33,1033,6,76,114,150,False
34,1034,3,70,105,150,True
35,1035,8,86,129,150,False
36,1036,4,70,105,150,True
37,1037,1,86,129,150,False
38,1038,7,81,121,150,False
39,1039,3,81,121,150,False
40,1040,2,84,126,150,False
41,1041,7,88,132,150,False
42,1042,8,72,108,150,True
43,1043,3,82,123,150,False
44,1044,4,95,142,150,False
45,1045,3,82,123,150,False
46,1046,6,78,117,150,False
47,1047,5,83,124,150,False
48,1048,7,92,138,150,False
49,1049,5,97,145,150,False
50,1050,5,91,136,150,False
51,1051,7,87,130,150,False
52,1052,6,73,109,150,True
53,1053,8,88,132,150,False
54,1054,7,94,141,150,False
55,1055,8,84,126,150,False
56,1056,2,89,133,150,False
57,1057,4,100,150,150,False
58,1058,7,84,126,150,False
59,1059,8,83,124,150,False
60,1060,4,87,130,150,False
61,1061,5,98,147,150,False
62,1062,1,100,150,150,False
63,1063,8,81,121,150,False
64,1064,7,85,127,150,False
65,1065,5,91,136,150,False
66,1066,5,77,115,150,False
67,1067,3,73,109,150,True
68,1068,2,91,136,150,False
69,1069,1,90,135,150,False
70,1070,7,85,127,150,False
71,1071,7,88,132,150,False
72,1072,8,83,124,150,False
73,1073,4,85,127,150,False
74,1074,1,85,127,150,False
75,1075,2,89,133,150,False
76,1076,2,87,130,150,False
77,1077,6,85,127,150,False
78,1078,3,83,124,150,False
79,1079,7,89,133,150,False
80,1080,3,83,124,150,False
81,1081,1,94,141,150,False
82,1082,8,97,145,150,False
83,1083,2,100,150,150,False
84,1084,6,95,142,150,False
85,1085,3,91,136,150,False
86,1086,6,94,141,150,False
87,1087,5,96,144,150,False
88,1088,2,98,147,150,False
89,1089,2,87,130,150,False
90,1090,5,83,124,150,False
91,1091,1,89,133,150,False
92,1092,2,98,147,150,False
93,1093,5,83,124,150,False
94,1094,8,91,136,150,False
95,1095,4,83,124,150,False
96,1096,4,86,129,150,False
97,1097,5,89,133,150,False
98,1098,3,86,129,150,False
99,1099,2,82,123,150,False
100,1100,7,84,126,150,False
101,1101,8,93,139,150,False
102,1102,2,88,132,150,False
103,1103,1,89,133,150,False
104,1104,7,100,150,150,False
105,1105,2,94,141,150,False
106,1106,1,82,123,150,False
107,1107,8,95,142,150,False
108,1108,7,100,150,150,False
109,1109,5,87,130,150,False
110,1110,4,92,138,150,False
111,1111,2,96,144,150,False
112,1112,6,76,114,150,False
113,1113,8,86,129,150,False
114,1114,8,97,145,150,False
115,1115,6,96,144,150,False
116,1116,5,75,112,150,False
117,1117,8,88,132,150,False
118,1118,2,86,129,150,False
119,1119,3,74,111,150,True
120,1120,8,94,141,150,False
121,1121,8,79,118,150,False
122,1122,3,89,133,150,False
123,1123,1,89,133,150,False
124,1124,5,84,126,150,False
125,1125,1,77,115,150,False
126,1126,2,96,144,150,False
127,1127,3,95,142,150,False
128,1128,3,91,136,150,False
129,1129,8,99,148,150,False
130,1130,8,88,132,150,False
131,1131,5,75,112,150,False
132,1132,6,70,105,150,True
133,1133,6,88,132,150,False
134,1134,1,87,130,150,False
135,1135,4,93,139,150,False
136,1136,5,84,126,150,False
137,1137,8,90,135,150,False
138,1138,2,92,138,150,False
139,1139,4,82,123,150,False
140,1140,1,89,133,150,False
141,1141,2,83,124,150,False
142,1142,8,80,120,150,False
143,1143,3,92,138,150,False
144,1144,4,99,148,150,False
145,1145,4,93,139,150,False
146,1146,4,93,139,150,False
147,1147,5,100,150,150,False
148,1148,4,90,135,150,False
149,1149,5,98,147,150,False
150,1150,3,86,129,150,False
151,1151,7,96,144,150,False
152,1152,7,90,135,150,False
153,1153,2,79,118,150,False
154,1154,6,97,145,150,False
155,1155,7,73,109,150,True
156,1156,2,89,133,150,False
157,1157,7,83,124,150,False
158,1158,2,86,129,150,False
159,1159,8,94,141,150,False
160,1160,7,89,133,150,False
161,1161,5,84,126,150,False
162,1162,3,86,129,150,False
163,1163,4,87,130,150,False
164,1164,6,99,148,150,False
165,1165,4,86,129,150,False
166,1166,7,82,123,150,False
167,1167,2,100,150,150,False
168,1168,6,100,150,150,False
169,1169,2,84,126,150,False
170,1170,6,93,139,150,False
171,1171,7,87,130,150,False
172,1172,4,85,127,150,False
173,1173,7,76,114,150,False
174,1174,1,77,115,150,False
175,1175,7,87,130,150,False
176,1176,8,90,135,150,False
177,1177,3,97,145,150,False
178,1178,1,73,109,150,True
179,1179,4,94,141,150,False
180,1180,6,90,135,150,False
181,1181,3,97,145,150,False
182,1182,4,96,144,150,False
183,1183,1,100,150,150,False
184,1184,4,93,139,150,False
185,1185,4,75,112,150,False
186,1186,5,83,124,150,False
187,1187,4,85,127,150,False
188,1188,1,96,144,150,False
189,1189,4,82,123,150,False
190,1190,6,83,124,150,False
191,1191,5,92,138,150,False
192,1192,2,75,112,150,False
193,1193,3,85,127,150,False
194,1194,5,86,129,150,False
195,1195,6,82,123,150,False
196,1196,4,75,112,150,False
197,1197,2,97,145,150,False
198,1198,2,90,135,150,False
199,1199,3,85,127,150,False
200,1200,3,99,148,150,False
201,1201,4,83,124,150,False
202,1202,6,82,123,150,False
203,1203,3,95,142,150,False
204,1204,1,91,136,150,False
205,1205,6,85,127,150,False
206,1206,3,85,127,150,False
207,1207,3,98,147,150,False
208,1208,3,76,114,150,False
209,1209,1,83,124,150,False
210,1210,6,100,150,150,False
211,1211,2,85,127,150,False
212,1212,8,100,150,150,False
213,1213,5,79,118,150,False
214,1214,8,98,147,150,False
215,1215,8,77,115,150,False
216,1216,4,89,133,150,False
217,1217,5,95,142,150,False
218,1218,5,96,144,150,False
219,1219,8,100,150,150,False
220,1220,2,94,141,150,False
221,1221,1,78,117,150,False
222,1222,5,83,124,150,False
223,1223,8,87,130,150,False
224,1224,3,92,138,150,False
225,1225,6,97,145,150,False
226,1226,5,79,118,150,False
227,1227,6,75,112,150,False
228,1228,7,86,129,150,False
229,1229,7,88,132,150,False
230,1230,2,86,129,150,False
231,1231,7,100,150,150,False
232,1232,7,87,130,150,False
233,1233,6,79,118,150,False
234,1234,6,80,120,150,False
235,1235,4,89,133,150,False
236,1236,4,100,150,150,False
237,1237,1,82,123,150,False
238,1238,4,80,120,150,False
239,1239,2,92,138,150,False
240,1240,2,81,121,150,False
241,1241,7,89,133,150,False
242,1242,5,92,138,150,False
243,1243,5,100,150,150,False
244,1244,7,59,88,150,True
245,1245,1,86,129,150,False
246,1246,4,87,130,150,False
247,1247,2,97,145,150,False
248,1248,2,93,139,150,False
249,1249,6,80,120,150,False
250,1250,3,76,114,150,False
251,1251,5,74,111,150,True
252,1252,3,88,132,150,False
253,1253,7,85,127,150,False
254,1254,7,85,127,150,False
255,1255,6,94,141,150,False
256,1256,1,94,141,150,False
257,1257,1,97,145,150,False
258,1258,5,100,150,150,False
259,1259,1,89,133,150,False
260,1260,7,100,150,150,False
261,1261,5,89,133,150,False
262,1262,7,79,118,150,False
263,1263,6,86,129,150,False
264,1264,7,86,129,150,False
265,1265,1,86,129,150,False
266,1266,1,96,144,150,False
267,1267,5,94,141,150,False
268,1268,1,89,133,150,False
269,1269,7,83,124,150,False
270,1270,5,76,114,150,False
271,1271,1,77,115,150,False
272,1272,8,97,145,150,False
273,1273,5,80,120,150,False
274,1274,6,97,145,150,False
275,1275,4,76,114,150,False
276,1276,3,85,127,150,False
277,1277,4,86,129,150,False
278,1278,7,99,148,150,False
