placement_id,student_id,aptitude_score,resume_score,communication_score,interview_readiness,employability_score,placement_probability,placed,package_lpa
1,1001,83,49,81,82,52.4,Low,0,0.0
2,1002,54,42,56,55,50.2,Low,0,0.0
3,1003,61,33,53,57,41.2,Low,0,0.0
4,1004,77,43,59,68,54.3,Low,0,0.0
5,1005,75,53,75,75,59.4,Low,0,0.0
6,1006,80,46,75,77,52.6,Low,0,0.0
7,1007,80,44,61,70,43.8,Low,0,0.0
8,1008,59,42,57,58,48.9,Low,0,0.0
9,1009,70,41,59,64,44.6,Low,0,0.0
10,1010,63,43,65,64,48.3,Low,0,0.0
11,1011,58,39,51,54,48.1,Low,0,0.0
12,1012,80,56,70,75,66.2,Medium,0,0.0
13,1013,88,69,79,83,74.4,Medium,1,17.15
14,1014,89,83,100,94,81.2,High,1,4.25
15,1015,79,44,60,69,49.3,Low,0,0.0
16,1016,88,52,77,82,60.2,Medium,0,0.0
17,1017,49,35,46,47,40.0,Low,0,0.0
18,1018,86,37,61,73,43.8,Low,0,0.0
19,1019,80,57,86,83,58.1,Low,1,6.17
20,1020,59,39,55,57,45.9,Low,0,0.0
21,1021,92,74,85,88,78.0,Medium,1,12.86
22,1022,88,59,83,85,60.0,Medium,1,17.11
23,1023,100,85,100,100,82.7,High,1,4.05
24,1024,76,42,52,64,50.2,Low,0,0.0
25,1025,93,81,98,95,78.5,Medium,1,13.02
26,1026,76,48,78,77,50.8,Low,0,0.0
27,1027,79,55,79,79,55.9,Low,0,0.0
28,1028,100,86,98,99,83.2,High,1,5.53
29,1029,90,63,84,87,64.0,Medium,1,10.45
30,1030,57,42,56,56,48.7,Low,0,0.0
31,1031,79,54,71,75,60.5,Medium,0,0.0
32,1032,100,70,94,97,78.3,Medium,1,16.39
33,1033,80,50,83,81,54.2,Low,0,0.0
34,1034,64,46,55,59,49.6,Low,0,0.0
35,1035,73,36,54,63,43.3,Low,0,0.0
36,1036,53,35,47,50,42.5,Low,0,0.0
37,1037,98,53,79,88,58.5,Low,0,0.0
38,1038,83,66,90,86,66.3,Medium,1,6.59
39,1039,77,65,81,79,70.1,Medium,1,15.23
40,1040,66,39,60,63,41.5,Low,0,0.0
41,1041,44,39,56,50,48.7,Low,0,0.0
42,1042,82,45,73,77,47.1,Low,0,0.0
43,1043,73,41,72,72,42.0,Low,0,0.0
44,1044,95,77,88,91,79.0,Medium,1,15.42
45,1045,62,55,73,67,55.1,Low,0,0.0
46,1046,46,36,40,43,44.3,Low,0,0.0
47,1047,68,42,56,62,44.9,Low,0,0.0
48,1048,80,73,81,80,77.0,Medium,1,7.33
49,1049,70,47,66,68,47.6,Low,0,0.0
50,1050,83,67,82,82,67.8,Medium,1,12.83
51,1051,60,44,70,65,52.2,Low,0,0.0
52,1052,80,49,76,78,51.9,Low,0,0.0
53,1053,100,78,100,100,76.1,Medium,1,6.39
54,1054,76,55,68,72,58.1,Low,0,0.0
55,1055,79,65,92,85,60.8,Medium,0,0.0
56,1056,85,69,87,86,67.8,Medium,1,8.57
57,1057,97,82,100,98,83.5,High,1,7.11
58,1058,90,63,81,85,69.7,Medium,1,9.6
59,1059,78,65,71,74,67.3,Medium,1,6.87
60,1060,100,75,94,97,80.4,High,1,13.45
61,1061,66,54,77,71,57.7,Low,0,0.0
62,1062,85,64,78,81,68.0,Medium,1,9.39
63,1063,72,42,56,64,42.2,Low,0,0.0
64,1064,84,76,97,90,78.3,Medium,1,6.25
65,1065,46,30,43,44,38.2,Low,0,0.0
66,1066,46,32,50,48,35.7,Low,0,0.0
67,1067,54,30,38,46,32.6,Low,0,0.0
68,1068,71,59,76,73,59.8,Low,0,0.0
69,1069,77,67,83,80,67.9,Medium,1,13.99
70,1070,66,33,53,59,39.4,Low,0,0.0
71,1071,53,55,73,63,53.8,Low,0,0.0
72,1072,92,67,78,85,72.3,Medium,1,17.9
73,1073,71,45,73,72,48.5,Low,0,0.0
74,1074,46,36,48,47,41.0,Low,0,0.0
75,1075,96,83,96,96,81.4,High,1,4.71
76,1076,92,48,73,82,51.0,Low,0,0.0
77,1077,60,40,52,56,47.8,Low,0,0.0
78,1078,87,72,88,87,73.2,Medium,1,13.99
79,1079,71,55,79,75,55.0,Low,0,0.0
80,1080,71,49,76,73,54.5,Low,0,0.0
81,1081,87,76,92,89,76.3,Medium,1,9.71
82,1082,98,81,98,98,79.1,Medium,1,8.99
83,1083,71,61,75,73,64.1,Medium,0,0.0
84,1084,41,33,49,45,37.7,Low,0,0.0
85,1085,52,49,60,56,53.6,Low,0,0.0
86,1086,90,67,75,82,76.1,Medium,1,7.51
87,1087,52,44,61,56,44.7,Low,0,0.0
88,1088,65,59,76,70,60.8,Medium,0,0.0
89,1089,88,66,87,87,75.3,Medium,1,15.99
90,1090,61,48,69,65,53.9,Low,0,0.0
91,1091,92,60,83,87,57.1,Low,0,0.0
92,1092,82,66,91,86,67.9,Medium,1,14.74
93,1093,56,42,48,52,53.3,Low,0,0.0
94,1094,100,75,100,100,75.8,Medium,1,11.13
95,1095,60,51,66,63,54.8,Low,0,0.0
96,1096,59,49,65,62,49.4,Low,0,0.0
97,1097,67,33,53,60,41.9,Low,0,0.0
98,1098,62,33,62,62,36.2,Low,0,0.0
99,1099,75,66,76,75,65.5,Medium,0,0.0
100,1100,90,56,80,85,61.5,Medium,0,0.0
101,1101,84,73,90,87,70.5,Medium,1,8.24
102,1102,66,39,65,65,45.7,Low,0,0.0
