portfolio_id,student_id,projects,certifications,github_repositories,github_score
1,1001,1,2,5,13
2,1002,2,2,5,38
3,1003,1,1,5,44
4,1004,2,2,8,41
5,1005,2,3,8,26
6,1006,1,2,8,32
7,1007,2,2,4,46
8,1008,2,2,7,32
9,1009,2,1,4,27
10,1010,1,3,9,28
11,1011,2,2,7,38
12,1012,3,3,11,51
13,1013,4,5,10,61
14,1014,5,4,6,78
15,1015,2,2,3,36
16,1016,2,2,6,29
17,1017,2,1,8,24
18,1018,1,1,6,31
19,1019,2,2,10,37
20,1020,2,1,10,43
21,1021,4,6,4,79
22,1022,2,4,5,42
23,1023,5,5,11,72
24,1024,2,3,5,43
25,1025,4,6,8,75
26,1026,1,2,3,39
27,1027,2,3,8,26
28,1028,5,6,8,84
29,1029,3,3,13,52
30,1030,2,2,5,42
31,1031,3,2,4,44
32,1032,3,4,6,48
33,1033,1,2,5,36
34,1034,3,2,12,53
35,1035,1,2,3,17
36,1036,2,1,10,36
37,1037,2,2,3,49
38,1038,3,3,4,41
39,1039,3,5,9,57
40,1040,1,2,2,44
41,1041,1,3,9,22
42,1042,1,2,3,22
43,1043,1,0,1,18
44,1044,5,4,10,73
45,1045,3,2,8,58
46,1046,2,3,2,17
47,1047,2,2,8,43
48,1048,5,4,14,62
49,1049,2,2,6,40
50,1050,4,3,7,51
51,1051,1,2,2,24
52,1052,1,3,6,34
53,1053,4,4,5,64
54,1054,3,3,4,56
55,1055,3,2,10,37
56,1056,4,3,6,74
57,1057,4,6,10,58
58,1058,3,4,11,57
59,1059,4,5,7,62
60,1060,4,4,10,69
61,1061,2,3,8,48
62,1062,3,5,13,51
63,1063,2,2,12,50
64,1064,4,4,14,51
65,1065,0,2,8,13
66,1066,1,1,2,15
67,1067,1,1,5,33
68,1068,3,3,4,47
69,1069,4,3,4,59
70,1070,1,1,8,25
71,1071,3,2,12,28
72,1072,4,4,10,51
73,1073,1,2,4,20
74,1074,2,1,5,34
75,1075,5,5,6,76
76,1076,2,1,4,45
77,1077,2,2,4,23
78,1078,4,4,4,49
79,1079,2,3,6,51
80,1080,1,3,9,34
81,1081,4,5,10,54
82,1082,4,6,11,51
83,1083,4,2,6,74
84,1084,1,2,6,28
85,1085,3,2,9,60
86,1086,4,5,14,74
87,1087,2,2,11,51
88,1088,3,3,12,50
89,1089,3,4,10,43
90,1090,2,2,4,32
91,1091,3,2,12,49
92,1092,3,3,7,31
93,1093,2,4,8,36
94,1094,3,5,12,49
95,1095,2,4,5,31
96,1096,3,1,4,70
97,1097,1,1,11,43
98,1098,0,1,4,23
99,1099,4,4,5,60
100,1100,2,3,2,51
101,1101,4,4,12,62
102,1102,1,1,6,28
103,1103,5,6,7,72
104,1104,1,3,3,30
105,1105,2,3,2,45
106,1106,0,1,0,20
107,1107,4,4,6,51
108,1108,4,5,9,61
109,1109,1,1,10,18
110,1110,3,4,5,44
111,1111,4,5,11,45
112,1112,4,4,6,62
113,1113,2,3,2,43
114,1114,4,5,4,51
115,1115,4,4,9,56
116,1116,1,0,4,24
117,1117,4,4,10,55
118,1118,2,4,9,32
119,1119,1,3,1,39
120,1120,2,1,2,31
121,1121,2,0,2,44
122,1122,3,4,4,48
123,1123,2,1,3,44
124,1124,3,5,5,48
125,1125,3,5,5,59
126,1126,4,5,4,48
127,1127,0,2,0,15
128,1128,2,2,8,42
129,1129,4,5,12,71
130,1130,2,3,11,38
131,1131,2,1,8,58
132,1132,1,1,9,29
133,1133,2,3,2,51
134,1134,4,5,5,70
135,1135,4,3,5,60
136,1136,3,3,11,50
137,1137,2,3,10,39
138,1138,4,4,4,52
139,1139,1,1,11,32
140,1140,4,4,9,67
141,1141,1,2,4,26
142,1142,3,2,6,45
143,1143,2,1,12,52
144,1144,4,5,6,56
145,1145,3,4,4,69
146,1146,3,4,6,46
147,1147,4,3,8,46
148,1148,4,6,11,84
149,1149,3,4,10,38
150,1150,2,1,7,39
151,1151,2,3,4,38
152,1152,5,6,12,84
153,1153,1,3,11,27
154,1154,3,3,5,34
155,1155,3,2,4,56
156,1156,3,2,7,47
157,1157,1,1,2,38
158,1158,2,2,11,59
159,1159,4,3,7,74
160,1160,3,1,6,49
161,1161,4,5,7,55
162,1162,4,4,9,61
163,1163,3,3,7,52
164,1164,4,4,9,70
165,1165,4,5,14,47
166,1166,3,2,6,50
167,1167,5,4,13,85
168,1168,2,3,12,28
169,1169,1,2,1,30
170,1170,4,4,8,56
171,1171,4,4,12,63
172,1172,3,4,13,49
173,1173,2,1,4,51
174,1174,2,3,4,44
175,1175,4,4,4,52
176,1176,2,1,9,44
177,1177,3,5,11,43
178,1178,4,5,12,56
179,1179,4,3,5,44
180,1180,3,2,9,43
181,1181,3,4,4,49
182,1182,2,3,9,47
183,1183,3,4,10,49
184,1184,2,4,6,38
185,1185,2,1,11,45
186,1186,4,6,7,61
187,1187,1,1,10,33
188,1188,4,4,7,63
189,1189,4,4,11,53
190,1190,4,3,14,56
191,1191,3,4,5,34
192,1192,1,1,6,18
193,1193,2,1,5,62
194,1194,5,5,14,55
195,1195,1,2,7,44
196,1196,3,3,8,46
197,1197,1,3,10,24
198,1198,3,4,5,43
199,1199,3,3,12,44
200,1200,4,6,14,61
201,1201,3,3,12,54
202,1202,3,3,9,46
203,1203,3,4,11,45
204,1204,2,2,12,21
205,1205,1,1,11,52
206,1206,5,4,7,77
207,1207,3,2,4,55
208,1208,0,0,2,38
209,1209,1,3,9,22
210,1210,5,5,10,59
211,1211,2,4,11,48
212,1212,3,5,4,50
213,1213,1,1,6,27
214,1214,5,5,8,75
215,1215,1,2,10,20
216,1216,2,2,10,37
217,1217,3,5,8,41
218,1218,5,4,13,76
219,1219,1,2,9,29
220,1220,4,4,8,41
221,1221,1,1,6,43
222,1222,2,0,12,36
223,1223,4,3,10,48
224,1224,2,1,3,47
225,1225,2,4,4,47
226,1226,2,3,6,47
227,1227,2,3,8,53
228,1228,2,1,4,51
229,1229,1,3,1,26
230,1230,3,4,11,37
231,1231,3,2,10,41
232,1232,3,3,11,33
233,1233,3,2,5,35
234,1234,2,2,12,52
235,1235,3,3,11,39
236,1236,5,5,12,78
237,1237,2,0,2,39
238,1238,3,4,10,53
239,1239,5,5,12,64
240,1240,3,3,5,45
241,1241,2,3,5,29
242,1242,4,5,8,60
243,1243,3,4,9,62
244,1244,2,1,2,20
245,1245,1,1,5,28
246,1246,2,3,8,26
247,1247,5,5,5,54
248,1248,2,3,4,55
249,1249,1,2,5,23
250,1250,2,3,10,57
251,1251,1,0,7,15
252,1252,4,3,12,60
253,1253,4,5,4,68
254,1254,1,1,3,35
255,1255,4,5,5,68
256,1256,4,5,4,60
257,1257,4,5,10,52
258,1258,5,5,5,62
259,1259,3,4,7,58
260,1260,4,5,9,52
261,1261,1,2,9,48
262,1262,3,5,13,46
263,1263,2,2,8,52
264,1264,5,5,6,70
265,1265,1,1,8,40
266,1266,4,5,8,71
267,1267,3,5,11,58
268,1268,1,2,3,44
269,1269,0,2,3,16
270,1270,1,2,9,41
271,1271,2,2,11,26
272,1272,5,5,14,57
