skill_id,student_id,python,java,sql,machine_learning,data_science,communication,coding_score
1,1001,73,74,66,71,64,81,197
2,1002,61,54,59,54,49,56,217
3,1003,65,74,59,50,66,53,113
4,1004,71,75,72,65,67,59,292
5,1005,73,76,76,67,65,75,303
6,1006,74,70,80,61,62,75,215
7,1007,62,54,58,47,57,61,63
8,1008,58,67,56,47,55,57,201
9,1009,66,75,58,63,71,59,126
10,1010,74,68,81,67,63,65,105
11,1011,67,68,73,67,68,51,190
12,1012,87,78,86,75,80,70,358
13,1013,85,89,81,80,73,79,446
14,1014,95,100,99,87,93,100,441
15,1015,70,73,70,64,59,60,154
16,1016,80,74,73,78,72,77,330
17,1017,55,52,61,40,60,46,82
18,1018,70,69,69,61,56,61,100
19,1019,80,70,74,70,67,86,250
20,1020,68,76,67,52,53,55,158
21,1021,84,76,84,73,75,85,486
22,1022,80,85,81,78,74,83,218
23,1023,100,98,100,86,100,100,406
24,1024,68,61,66,50,62,52,185
25,1025,82,85,74,84,79,98,424
26,1026,67,66,74,66,64,78,214
27,1027,80,70,85,74,78,79,172
28,1028,98,100,100,80,85,98,397
29,1029,76,82,81,61,64,84,313
30,1030,64,62,63,59,60,56,183
31,1031,82,91,79,71,82,71,275
32,1032,100,91,100,94,96,94,488
33,1033,83,73,88,72,88,83,199
34,1034,74,66,66,63,62,55,91
35,1035,54,60,52,48,44,54,164
36,1036,59,52,60,50,52,47,120
37,1037,78,68,85,67,77,79,270
38,1038,89,80,87,79,75,90,282
39,1039,86,88,86,81,80,81,360
40,1040,50,44,42,33,52,60,138
41,1041,65,56,72,57,51,56,183
42,1042,76,72,69,75,62,73,101
43,1043,69,73,66,66,66,72,71
44,1044,93,98,94,80,85,88,448
45,1045,66,66,70,53,59,73,238
46,1046,54,53,62,44,48,40,127
47,1047,60,61,61,45,61,56,126
48,1048,97,100,100,98,98,81,396
49,1049,67,72,59,61,65,66,85
50,1050,83,81,82,71,73,82,325
51,1051,73,66,68,74,63,70,234
52,1052,82,92,76,84,87,76,152
53,1053,100,100,92,95,100,100,349
54,1054,68,74,68,68,58,68,255
55,1055,81,88,89,68,78,92,226
56,1056,78,75,86,66,71,87,328
57,1057,94,93,99,84,85,100,512
58,1058,91,100,90,78,96,81,377
59,1059,72,74,79,57,58,71,364
60,1060,100,100,100,100,86,94,475
61,1061,80,76,87,82,82,77,185
62,1062,86,96,87,78,86,78,293
63,1063,59,53,58,46,58,56,71
64,1064,93,98,86,90,92,97,475
65,1065,60,60,55,58,60,43,89
66,1066,50,48,58,43,41,50,37
67,1067,47,53,51,48,36,38,14
68,1068,73,76,66,70,76,76,227
69,1069,82,75,76,70,70,83,331
70,1070,56,55,57,57,46,53,119
71,1071,61,60,61,44,65,73,207
72,1072,85,83,90,72,88,78,434
73,1073,74,76,80,62,67,73,133
74,1074,52,58,48,41,38,48,126
75,1075,95,93,100,80,94,96,411
76,1076,77,79,74,73,67,73,143
77,1077,58,62,53,55,53,52,212
78,1078,87,79,93,79,82,88,402
79,1079,74,74,80,71,62,79,201
80,1080,77,87,69,73,78,76,218
81,1081,89,98,96,79,79,92,427
82,1082,93,94,86,80,89,98,379
83,1083,79,76,76,66,67,75,312
84,1084,50,43,45,44,39,49,44
85,1085,63,63,67,62,49,60,239
86,1086,86,77,79,88,90,75,461
87,1087,54,46,60,54,56,61,106
88,1088,72,79,76,72,69,76,287
89,1089,98,91,100,87,87,87,450
90,1090,75,84,70,69,74,69,210
91,1091,67,76,66,59,58,83,224
92,1092,89,92,92,87,86,91,293
93,1093,63,69,68,65,53,48,260
94,1094,94,100,94,96,96,100,392
95,1095,63,57,62,56,56,66,259
96,1096,65,69,66,60,69,65,145
97,1097,61,68,64,46,56,53,117
98,1098,59,66,55,58,58,62,0
99,1099,78,84,76,64,66,76,292
100,1100,78,77,72,67,72,80,331
101,1101,77,87,72,64,71,90,384
